sys_util,req_perc,period,processors,task_util,RTA_DELTA,RTA_NORM
1.5,1.0,uni-moderate,4,exp-light,0.0,0.0
1.5,0.1,log-uni-moderate,2,exp-medium,0.0,0.0
3.5,0.1,uni-long,4,bimo-medium,0.0,0.0
2.0,1.0,log-uni-short,4,bimo-heavy,0.0,0.0
1.75,1.0,log-uni-long,2,uni-medium,0.0,0.0
1.0,1.0,log-uni-moderate,2,bimo-light,0.019999999999999997,0.019999999999999997
1.0,0.1,log-uni-short,4,uni-heavy,0.43157894736842106,0.43157894736842106
1.0,0.1,log-uni-long,2,bimo-heavy,0.05,0.05
1.25,1.0,log-uni-moderate,4,exp-heavy,0.0,0.0
1.0,0.1,log-uni-short,2,exp-light,0.05,0.05
1.0,0.1,uni-short,2,exp-medium,0.059999999999999984,0.059999999999999984
1.5,0.1,log-uni-moderate,4,exp-light,0.0,0.0
1.5,0.1,log-uni-long,2,bimo-medium,0.0,0.0
2.75,0.1,log-uni-moderate,4,bimo-heavy,0.0,0.0
1.25,1.0,uni-long,2,uni-medium,0.0,0.0
3.0,0.1,log-uni-long,4,bimo-medium,0.0,0.0
0.25,0.1,log-uni-moderate,2,uni-heavy,1.0,1.0
2.25,0.1,log-uni-long,4,uni-heavy,0.0,0.0
2.25,0.1,uni-short,4,uni-heavy,0.0,0.0
0.25,0.1,uni-long,2,uni-light,1.0,1.0
2.5,1.0,uni-moderate,4,exp-medium,0.0,0.0
1.25,0.1,uni-moderate,2,uni-medium,0.0,0.0
1.75,1.0,uni-moderate,2,bimo-medium,0.0,0.0
2.0,0.1,uni-moderate,4,exp-light,0.0,0.0
0.25,1.0,uni-moderate,2,bimo-heavy,0.98,0.98
3.75,1.0,uni-long,4,exp-medium,0.0,0.0
1.75,0.1,log-uni-long,4,exp-medium,0.0,0.0
2.0,1.0,uni-long,4,exp-light,0.0,0.0
1.75,0.1,uni-short,2,exp-medium,0.0,0.0
0.5,0.1,log-uni-moderate,4,exp-medium,0.8117154811715482,0.8117154811715482
1.5,0.1,uni-long,4,bimo-light,0.0,0.0
1.25,1.0,uni-short,2,exp-heavy,0.0,0.0
3.75,0.1,uni-moderate,4,exp-light,0.0,0.0
2.5,0.1,log-uni-long,4,exp-heavy,0.0,0.0
1.0,1.0,log-uni-long,2,uni-light,0.0,0.0
0.75,1.0,uni-short,4,exp-medium,0.5442708333333329,0.5442708333333329
1.25,0.1,log-uni-moderate,4,uni-light,0.0,0.0
2.5,1.0,log-uni-short,4,exp-light,0.0,0.0
2.25,1.0,uni-moderate,4,bimo-medium,0.0,0.0
0.5,1.0,uni-short,4,exp-medium,0.8310502283105021,0.8310502283105021
0.75,0.1,uni-moderate,2,uni-light,0.03999999999999998,0.03999999999999998
0.5,1.0,log-uni-long,4,uni-light,0.7350993377483442,0.7350993377483442
4.0,0.1,uni-short,4,bimo-heavy,0.0,0.0
1.5,1.0,log-uni-long,2,uni-medium,0.0,0.0
0.25,0.1,uni-long,4,uni-heavy,1.0,1.0
1.75,1.0,uni-long,2,bimo-medium,0.0,0.0
2.25,0.1,log-uni-moderate,4,uni-heavy,0.0,0.0
0.5,1.0,log-uni-long,2,bimo-light,0.900709219858156,0.900709219858156
2.75,0.1,uni-long,4,bimo-light,0.0,0.0
4.0,0.1,log-uni-long,4,bimo-heavy,0.0,0.0
2.0,0.1,log-uni-long,4,bimo-heavy,0.0,0.0
3.25,0.1,uni-long,4,uni-light,0.0,0.0
1.5,1.0,log-uni-short,2,bimo-heavy,0.0,0.0
1.0,1.0,log-uni-long,2,bimo-light,0.019999999999999997,0.019999999999999997
3.25,1.0,log-uni-moderate,4,uni-medium,0.0,0.0
2.75,0.1,uni-moderate,4,uni-medium,0.0,0.0
1.5,1.0,log-uni-short,4,bimo-medium,0.0,0.0
0.75,1.0,uni-moderate,2,uni-medium,0.5233160621761652,0.5233160621761652
0.75,1.0,uni-moderate,4,exp-light,0.25255972696245715,0.25255972696245715
2.25,0.1,log-uni-long,4,exp-light,0.0,0.0
2.5,1.0,log-uni-long,4,bimo-light,0.0,0.0
0.25,1.0,uni-short,2,bimo-heavy,1.0,1.0
0.25,1.0,log-uni-short,4,bimo-medium,1.0,1.0
2.0,1.0,log-uni-long,4,exp-medium,0.0,0.0
3.5,1.0,log-uni-long,4,bimo-medium,0.0,0.0
0.25,0.1,log-uni-long,2,exp-heavy,1.0,1.0
1.75,1.0,log-uni-long,2,uni-light,0.0,0.0
2.75,0.1,uni-long,4,uni-medium,0.0,0.0
3.5,0.1,log-uni-long,4,uni-medium,0.0,0.0
1.5,0.1,log-uni-long,4,exp-light,0.0,0.0
2.75,0.1,log-uni-long,4,bimo-light,0.0,0.0
2.75,0.1,uni-short,4,uni-heavy,0.0,0.0
1.75,0.1,uni-short,4,exp-medium,0.0,0.0
1.75,1.0,log-uni-short,2,exp-heavy,0.0,0.0
0.5,0.1,uni-short,4,uni-medium,0.7769516728624535,0.7769516728624535
0.5,1.0,uni-moderate,2,bimo-medium,0.8641304347826086,0.8641304347826086
1.25,1.0,log-uni-moderate,4,uni-light,0.0,0.0
1.5,1.0,uni-long,4,exp-light,0.0,0.0
4.0,0.1,uni-moderate,4,uni-light,0.0,0.0
1.0,0.1,log-uni-long,2,bimo-medium,0.019999999999999997,0.019999999999999997
1.0,0.1,log-uni-short,2,uni-medium,0.039999999999999994,0.039999999999999994
1.5,0.1,log-uni-long,4,bimo-heavy,0.0,0.0
1.0,1.0,log-uni-moderate,4,exp-heavy,0.04999999999999998,0.04999999999999998
3.25,0.1,uni-long,4,uni-heavy,0.0,0.0
0.25,1.0,uni-long,4,exp-light,1.0,1.0
0.5,1.0,log-uni-long,4,exp-light,0.8860759493670886,0.8860759493670886
1.0,1.0,log-uni-short,2,uni-light,0.009999999999999998,0.009999999999999998
1.75,0.1,uni-short,2,bimo-light,0.0,0.0
3.0,1.0,log-uni-short,4,exp-heavy,0.0,0.0
3.5,0.1,log-uni-short,4,exp-light,0.0,0.0
2.75,0.1,log-uni-short,4,exp-light,0.0,0.0
1.75,1.0,uni-long,4,bimo-medium,0.0,0.0
2.5,1.0,log-uni-long,4,bimo-medium,0.0,0.0
1.75,1.0,log-uni-moderate,4,bimo-medium,0.0,0.0
2.0,1.0,uni-moderate,4,bimo-heavy,0.0,0.0
1.5,1.0,log-uni-moderate,2,exp-medium,0.0,0.0
1.0,0.1,uni-moderate,2,bimo-medium,0.019999999999999997,0.019999999999999997
0.25,1.0,log-uni-long,4,exp-light,1.0,1.0
0.25,1.0,log-uni-moderate,2,uni-heavy,1.0,1.0
1.75,0.1,uni-moderate,2,bimo-light,0.0,0.0
0.75,1.0,log-uni-moderate,2,bimo-heavy,0.7517241379310347,0.7517241379310347
0.75,1.0,log-uni-short,4,exp-light,0.4048257372654157,0.4048257372654157
1.75,0.1,log-uni-short,2,bimo-light,0.0,0.0
1.25,0.1,log-uni-long,4,bimo-heavy,0.0,0.0
2.75,1.0,uni-long,4,uni-heavy,0.0,0.0
3.75,1.0,log-uni-short,4,exp-medium,0.0,0.0
0.25,0.1,log-uni-moderate,2,bimo-heavy,0.99,0.99
2.0,1.0,uni-short,2,uni-medium,0.0,0.0
3.25,0.1,log-uni-moderate,4,exp-light,0.0,0.0
0.75,1.0,log-uni-long,2,exp-medium,0.5978552278820373,0.5978552278820373
0.25,1.0,log-uni-long,2,uni-light,1.0,1.0
1.75,0.1,log-uni-long,2,bimo-medium,0.0,0.0
1.75,1.0,log-uni-short,2,uni-light,0.0,0.0
3.75,1.0,log-uni-long,4,uni-heavy,0.0,0.0
0.75,1.0,uni-short,2,exp-light,0.2542372881355932,0.2542372881355932
0.5,0.1,uni-short,4,uni-heavy,0.99,0.99
3.5,1.0,uni-moderate,4,bimo-light,0.0,0.0
0.25,1.0,uni-long,2,uni-medium,1.0,1.0
3.75,1.0,log-uni-long,4,uni-medium,0.0,0.0
1.5,0.1,log-uni-short,2,uni-medium,0.0,0.0
3.0,1.0,log-uni-moderate,4,bimo-medium,0.0,0.0
1.25,0.1,uni-short,4,uni-medium,0.0,0.0
3.0,1.0,uni-moderate,4,uni-medium,0.0,0.0
0.5,1.0,log-uni-moderate,4,bimo-light,0.7819548872180452,0.7819548872180452
4.0,1.0,log-uni-moderate,4,bimo-medium,0.0,0.0
1.75,1.0,uni-moderate,4,bimo-heavy,0.0,0.0
1.0,1.0,uni-short,2,bimo-heavy,0.16355140186915884,0.16355140186915884
2.5,1.0,uni-short,4,uni-light,0.0,0.0
2.75,1.0,uni-moderate,4,bimo-heavy,0.0,0.0
1.5,0.1,log-uni-long,2,uni-medium,0.0,0.0
2.5,0.1,uni-moderate,4,exp-heavy,0.0,0.0
1.75,0.1,uni-long,2,exp-medium,0.0,0.0
2.75,1.0,uni-short,4,exp-heavy,0.0,0.0
2.0,1.0,uni-long,2,exp-heavy,0.0,0.0
0.75,0.1,log-uni-long,2,exp-light,0.2870662460567826,0.2870662460567826
0.25,1.0,log-uni-short,2,uni-light,0.99,0.99
0.25,0.1,uni-moderate,4,bimo-light,0.98,0.98
1.0,0.1,uni-moderate,4,bimo-medium,0.019999999999999997,0.019999999999999997
0.5,0.1,uni-short,4,exp-light,0.7249190938511331,0.7249190938511331
0.75,1.0,log-uni-long,2,bimo-heavy,0.8117154811715479,0.8117154811715479
1.5,0.1,log-uni-short,2,bimo-heavy,0.0,0.0
0.25,0.1,log-uni-moderate,2,uni-medium,0.98,0.98
1.75,1.0,log-uni-short,4,exp-light,0.0,0.0
1.0,0.1,uni-long,2,bimo-light,0.019999999999999997,0.019999999999999997
1.0,1.0,log-uni-long,4,bimo-heavy,0.009999999999999998,0.009999999999999998
3.5,0.1,uni-short,4,uni-light,0.0,0.0
2.25,0.1,uni-moderate,4,uni-light,0.0,0.0
2.0,1.0,log-uni-long,2,exp-light,0.0,0.0
1.0,0.1,log-uni-long,4,bimo-medium,0.009999999999999998,0.009999999999999998
3.5,0.1,uni-short,4,bimo-light,0.0,0.0
1.25,1.0,log-uni-short,4,exp-heavy,0.0,0.0
1.5,0.1,uni-moderate,4,bimo-heavy,0.0,0.0
0.75,0.1,log-uni-long,2,exp-medium,0.5549738219895282,0.5549738219895282
1.25,0.1,uni-long,2,uni-medium,0.0,0.0
0.25,1.0,uni-long,4,uni-medium,1.0,1.0
0.25,0.1,log-uni-moderate,2,exp-heavy,1.0,1.0
1.5,0.1,log-uni-short,4,exp-medium,0.0,0.0
1.5,1.0,uni-long,2,uni-light,0.0,0.0
0.75,0.1,uni-long,4,bimo-light,0.672514619883041,0.672514619883041
1.5,1.0,uni-long,2,bimo-medium,0.0,0.0
0.5,1.0,log-uni-long,4,bimo-medium,0.94,0.94
2.0,1.0,uni-short,2,uni-heavy,0.0,0.0
4.0,1.0,uni-short,4,exp-medium,0.0,0.0
1.0,0.1,uni-moderate,2,bimo-heavy,0.06862745098039216,0.06862745098039216
2.0,1.0,uni-moderate,2,uni-heavy,0.0,0.0
3.75,1.0,log-uni-long,4,exp-light,0.0,0.0
0.75,1.0,uni-moderate,2,uni-light,0.019999999999999997,0.019999999999999997
3.25,1.0,uni-moderate,4,exp-heavy,0.0,0.0
2.0,1.0,uni-long,4,exp-medium,0.0,0.0
1.5,1.0,uni-moderate,2,exp-light,0.0,0.0
0.75,0.1,uni-short,2,bimo-medium,0.743243243243243,0.743243243243243
0.25,0.1,uni-moderate,2,exp-medium,1.0,1.0
2.25,0.1,log-uni-short,4,bimo-medium,0.0,0.0
2.25,1.0,log-uni-moderate,4,uni-medium,0.0,0.0
1.25,0.1,uni-long,4,uni-light,0.0,0.0
1.75,1.0,log-uni-short,4,uni-light,0.0,0.0
2.5,0.1,log-uni-moderate,4,bimo-light,0.0,0.0
0.25,1.0,log-uni-short,4,bimo-light,0.98,0.98
2.0,0.1,log-uni-long,4,exp-heavy,0.0,0.0
1.25,1.0,uni-short,4,exp-medium,0.0,0.0
3.25,0.1,uni-moderate,4,uni-medium,0.0,0.0
0.25,1.0,log-uni-moderate,4,exp-heavy,0.99,0.99
0.5,1.0,log-uni-moderate,2,bimo-light,0.9126984126984127,0.9126984126984127
0.5,0.1,uni-long,2,uni-heavy,1.0,1.0
0.75,0.1,uni-moderate,2,exp-medium,0.5116279069767437,0.5116279069767437
2.25,0.1,uni-moderate,4,uni-medium,0.0,0.0
1.0,0.1,uni-long,2,bimo-heavy,0.03999999999999997,0.03999999999999997
0.75,1.0,uni-short,4,exp-light,0.3428571428571429,0.3428571428571429
3.75,1.0,uni-short,4,exp-light,0.0,0.0
1.5,0.1,uni-long,2,bimo-heavy,0.0,0.0
2.0,0.1,log-uni-short,4,bimo-heavy,0.0,0.0
2.75,1.0,uni-long,4,bimo-heavy,0.0,0.0
0.25,1.0,log-uni-moderate,4,bimo-heavy,0.99,0.99
1.75,0.1,log-uni-short,2,uni-heavy,0.0,0.0
3.5,0.1,log-uni-short,4,bimo-light,0.0,0.0
2.5,1.0,uni-short,4,bimo-light,0.0,0.0
