sys_util,period,processors,task_util,NOFILTER,FILTER_90%,FILTER_99%,FILTER_99.9%
0.4,uni-short,1,uni-medium,0.15865384615384623,0.13942307692307707,0.13942307692307707,0.13942307692307707
0.6,uni-short,1,exp-heavy,0.0,0.0,0.0,0.0
0.1,log-uni-long,1,uni-heavy,1.0,1.0,1.0,1.0
1.0,log-uni-short,1,bimo-heavy,0.0,0.0,0.0,0.0
0.7000000000000001,uni-short,1,exp-heavy,0.0,0.0,0.0,0.0
0.4,log-uni-moderate,1,bimo-light,0.5480519480519482,0.5324675324675322,0.5324675324675322,0.5324675324675322
0.1,uni-long,1,exp-heavy,1.0,1.0,1.0,1.0
0.9,uni-long,1,exp-heavy,0.02127659574468085,0.0851063829787234,0.09929078014184398,0.09929078014184398
0.7000000000000001,uni-moderate,1,uni-light,0.029999999999999975,0.03999999999999998,0.04999999999999999,0.04999999999999999
0.8,log-uni-moderate,1,uni-heavy,0.029999999999999975,0.05,0.05999999999999995,0.05999999999999995
0.30000000000000004,uni-short,1,uni-heavy,0.4342105263157895,0.4052631578947368,0.4052631578947368,0.4052631578947368
1.0,log-uni-moderate,1,exp-heavy,0.0,0.0,0.0,0.0
0.9,uni-long,1,bimo-medium,0.009803921568627449,0.03921568627450978,0.06862745098039219,0.06862745098039219
0.7000000000000001,log-uni-short,1,bimo-medium,0.0,0.0,0.0,0.0
0.2,uni-moderate,1,exp-medium,0.8461538461538459,0.8413461538461537,0.8461538461538459,0.8461538461538459
0.9,uni-short,1,exp-light,0.0,0.0,0.0,0.0
0.4,log-uni-short,1,exp-light,0.0,0.0,0.0,0.0
0.5,uni-short,1,uni-medium,0.009999999999999998,0.0,0.0,0.0
0.5,uni-short,1,exp-heavy,0.019999999999999997,0.009999999999999998,0.009999999999999998,0.009999999999999998
0.9,uni-moderate,1,uni-medium,0.0,0.0,0.0,0.0
0.4,log-uni-short,1,bimo-heavy,0.12352941176470589,0.11764705882352941,0.11764705882352941,0.11764705882352941
1.0,log-uni-moderate,1,uni-medium,0.0,0.0,0.0,0.0
1.0,log-uni-long,1,bimo-light,0.0,0.0,0.0,0.0
0.2,uni-short,1,bimo-light,0.43157894736842095,0.41578947368421054,0.42105263157894735,0.42105263157894735
1.0,log-uni-moderate,1,uni-heavy,0.0,0.0,0.0,0.0
0.9,log-uni-long,1,exp-light,0.0,0.0,0.0,0.0
0.2,uni-long,1,exp-light,1.0,1.0,1.0,1.0
0.4,uni-moderate,1,exp-medium,0.7854545454545454,0.7709090909090909,0.7709090909090909,0.7709090909090909
