sys_util,NOFILTER,FILTER_90%,FILTER_99%,FILTER_99.9%
0.2,0.8770053475935828,0.8609625668449197,0.8663101604278075,0.8663101604278075
0.30000000000000004,0.8461538461538461,0.8413461538461537,0.8413461538461537,0.8413461538461537
0.4,0.7961538461538461,0.7884615384615384,0.7923076923076923,0.7923076923076923
0.7000000000000001,0.3842105263157894,0.4263157894736842,0.43157894736842095,0.43157894736842095
0.6,0.6705539358600584,0.6734693877551022,0.6763848396501457,0.6763848396501457
1.0,0.0,0.0,0.0,0.0
0.1,0.9217391304347826,0.9217391304347826,0.9217391304347826,0.9217391304347826
0.9,0.0,0.0,0.0,0.0
0.8,0.029999999999999995,0.029999999999999995,0.039999999999999994,0.039999999999999994
0.5,0.7344262295081969,0.7311475409836067,0.7311475409836067,0.7311475409836067
