sys_util,NOFILTER,FILTER_90%,FILTER_99%,FILTER_99.9%
0.4,0.15865384615384623,0.13942307692307707,0.13942307692307707,0.13942307692307707
0.5,0.009999999999999998,0.0,0.0,0.0
0.7000000000000001,0.0,0.0,0.0,0.0
0.1,0.5684210526315788,0.5684210526315788,0.5684210526315788,0.5684210526315788
1.0,0.0,0.0,0.0,0.0
0.6,0.0,0.0,0.0,0.0
0.30000000000000004,0.2825396825396823,0.26349206349206367,0.26349206349206367,0.26349206349206367
0.9,0.0,0.0,0.0,0.0
0.8,0.0,0.0,0.0,0.0
0.2,0.4342105263157895,0.4157894736842106,0.43157894736842106,0.43157894736842106
