sys_util,NOFILTER,FILTER_90%,FILTER_99%,FILTER_99.9%
1.0,0.0,0.0,0.0,0.0
0.5,0.039999999999999994,0.009999999999999998,0.009999999999999998,0.009999999999999998
0.4,0.12352941176470597,0.11176470588235295,0.11176470588235295,0.11176470588235295
0.7000000000000001,0.0,0.0,0.0,0.0
0.30000000000000004,0.21153846153846154,0.2,0.2,0.2
0.2,0.24028268551236753,0.2367491166077739,0.24028268551236753,0.24028268551236753
0.1,0.3390804597701148,0.3390804597701148,0.3390804597701148,0.3390804597701148
0.9,0.0,0.0,0.0,0.0
0.8,0.0,0.0,0.0,0.0
0.6,0.0,0.0,0.0,0.0
