sys_util,NOFILTER,FILTER_90%,FILTER_99%,FILTER_99.9%
0.30000000000000004,0.4342105263157895,0.4052631578947368,0.4052631578947368,0.4052631578947368
0.7000000000000001,0.0,0.0,0.0,0.0
0.5,0.11728395061728404,0.09259259259259262,0.09259259259259262,0.09259259259259262
1.0,0.0,0.0,0.0,0.0
0.4,0.34097421203438394,0.29512893982808025,0.29512893982808025,0.29512893982808025
0.9,0.0,0.0,0.0,0.0
0.1,0.5284974093264243,0.5284974093264243,0.5284974093264243,0.5284974093264243
0.6,0.0,0.0,0.0,0.0
0.2,0.503875968992248,0.47803617571059426,0.5064599483204134,0.5064599483204134
0.8,0.0,0.0,0.0,0.0
