sys_util,NOFILTER,FILTER_90%,FILTER_99%,FILTER_99.9%
0.7000000000000001,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0
0.5,0.0,0.0,0.0,0.0
0.8,0.0,0.0,0.0,0.0
0.30000000000000004,0.13333333333333333,0.11111111111111115,0.11111111111111115,0.11111111111111115
0.9,0.0,0.0,0.0,0.0
0.6,0.0,0.0,0.0,0.0
0.4,0.029999999999999995,0.029999999999999995,0.029999999999999995,0.029999999999999995
0.1,0.3294460641399416,0.3294460641399416,0.3294460641399416,0.3294460641399416
0.2,0.16666666666666674,0.16203703703703717,0.16666666666666674,0.16666666666666674
