sys_util,NOFILTER,FILTER_90%,FILTER_99%,FILTER_99.9%
0.9,0.0,0.0,0.0,0.0
0.5,0.039999999999999994,0.029999999999999975,0.029999999999999975,0.029999999999999975
0.7000000000000001,0.0,0.0,0.0,0.0
0.8,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0
0.30000000000000004,0.24210526315789474,0.22456140350877188,0.22456140350877188,0.22456140350877188
0.1,0.4675324675324675,0.45454545454545453,0.45454545454545453,0.45454545454545453
0.6,0.0,0.0,0.0,0.0
0.4,0.0916030534351145,0.07633587786259542,0.07633587786259542,0.07633587786259542
0.2,0.3313953488372095,0.302325581395349,0.322674418604651,0.322674418604651
