sys_util,NOFILTER,FILTER_90%,FILTER_99%,FILTER_99.9%
0.9,0.0,0.0,0.0,0.0
0.8,0.0,0.0,0.0,0.0
0.7000000000000001,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0
0.4,0.019999999999999997,0.009999999999999998,0.009999999999999998,0.009999999999999998
0.5,0.0,0.0,0.0,0.0
0.1,0.39622641509433965,0.380053908355795,0.380053908355795,0.380053908355795
0.30000000000000004,0.07407407407407403,0.07407407407407403,0.07407407407407403,0.07407407407407403
0.2,0.22509225092250923,0.18819188191881925,0.19188191881918826,0.19188191881918826
0.6,0.0,0.0,0.0,0.0
