sys_util,NOFILTER,FILTER_90%,FILTER_99%,FILTER_99.9%
0.1,0.6620111731843569,0.6368715083798883,0.6368715083798883,0.6368715083798883
1.0,0.0,0.0,0.0,0.0
0.30000000000000004,0.3869209809264307,0.3542234332425069,0.3542234332425069,0.3542234332425069
0.7000000000000001,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998
0.8,0.0,0.0,0.0,0.0
0.4,0.290625,0.2593750000000001,0.2593750000000001,0.2593750000000001
0.5,0.2482758620689655,0.22413793103448276,0.22413793103448276,0.22413793103448276
0.2,0.48320413436692505,0.45994832041343664,0.45994832041343664,0.45994832041343664
0.6,0.12716763005780354,0.1098265895953757,0.1098265895953757,0.1098265895953757
0.9,0.0,0.0,0.0,0.0
