sys_util,NOFILTER,FILTER_90%,FILTER_99%,FILTER_99.9%
0.8,0.0,0.0,0.0,0.0
0.5,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998
0.7000000000000001,0.0,0.0,0.0,0.0
0.6,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0
0.9,0.0,0.0,0.0,0.0
0.4,0.029999999999999995,0.019999999999999997,0.019999999999999997,0.019999999999999997
0.1,0.2848101265822783,0.2848101265822783,0.2848101265822783,0.2848101265822783
0.2,0.2,0.188,0.2,0.2
0.30000000000000004,0.15,0.1400000000000001,0.1400000000000001,0.1400000000000001
