sys_util,NOFILTER,FILTER_90%,FILTER_99%,FILTER_99.9%
0.8,0.0,0.0,0.0,0.0
0.7000000000000001,0.0,0.0,0.0,0.0
0.1,0.20238095238095238,0.1984126984126984,0.1984126984126984,0.1984126984126984
0.6,0.0,0.0,0.0,0.0
0.2,0.11392405063291143,0.1075949367088608,0.1075949367088608,0.1075949367088608
0.30000000000000004,0.06862745098039216,0.06862745098039216,0.06862745098039216,0.06862745098039216
0.9,0.0,0.0,0.0,0.0
0.4,0.04999999999999998,0.039999999999999994,0.039999999999999994,0.039999999999999994
1.0,0.0,0.0,0.0,0.0
0.5,0.0,0.0,0.0,0.0
