sys_util,NOFILTER,FILTER_90%,FILTER_99%,FILTER_99.9%
1.0,0.0,0.0,0.0,0.0
0.6,0.0,0.0,0.0,0.0
0.7000000000000001,0.0,0.0,0.0,0.0
0.5,0.019999999999999997,0.009999999999999998,0.009999999999999998,0.009999999999999998
0.1,0.47150259067357503,0.46891191709844543,0.46891191709844543,0.46891191709844543
0.8,0.0,0.0,0.0,0.0
0.2,0.416445623342175,0.3819628647214854,0.40318302387267896,0.40318302387267896
0.9,0.0,0.0,0.0,0.0
0.4,0.20238095238095236,0.18253968253968256,0.18253968253968256,0.18253968253968256
0.30000000000000004,0.2928348909657322,0.264797507788162,0.26791277258566976,0.26791277258566976
