sys_util,NOFILTER,FILTER_90%,FILTER_99%,FILTER_99.9%
0.6,0.0,0.0,0.0,0.0
0.9,0.0,0.0,0.0,0.0
0.30000000000000004,0.3531073446327683,0.3276836158192091,0.3276836158192091,0.3276836158192091
0.4,0.27652733118971085,0.2282958199356913,0.2282958199356913,0.2282958199356913
0.7000000000000001,0.0,0.0,0.0,0.0
0.8,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0
0.1,0.5376623376623374,0.5376623376623374,0.5376623376623374,0.5376623376623374
0.5,0.06956521739130435,0.0782608695652174,0.0782608695652174,0.0782608695652174
0.2,0.5167958656330748,0.5012919896640826,0.5142118863049097,0.5142118863049097
