sys_util,NOFILTER,FILTER_90%,FILTER_99%,FILTER_99.9%
0.1,0.2703583061889251,0.26710097719869735,0.26710097719869735,0.26710097719869735
0.30000000000000004,0.10666666666666667,0.10666666666666667,0.10666666666666667,0.10666666666666667
1.0,0.0,0.0,0.0,0.0
0.4,0.09558823529411764,0.08823529411764705,0.08823529411764705,0.08823529411764705
0.6,0.0,0.0,0.0,0.0
0.9,0.0,0.0,0.0,0.0
0.5,0.019999999999999997,0.029999999999999975,0.029999999999999975,0.029999999999999975
0.2,0.15000000000000002,0.14500000000000007,0.14500000000000007,0.14500000000000007
0.7000000000000001,0.0,0.0,0.0,0.0
0.8,0.0,0.0,0.0,0.0
