sys_util,NOFILTER,FILTER_90%,FILTER_99%,FILTER_99.9%
0.9,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0
0.4,0.12352941176470589,0.11764705882352941,0.11764705882352941,0.11764705882352941
0.8,0.0,0.0,0.0,0.0
0.30000000000000004,0.15865384615384615,0.1490384615384615,0.1490384615384615,0.1490384615384615
0.6,0.0,0.0,0.0,0.0
0.7000000000000001,0.0,0.0,0.0,0.0
0.1,0.2624584717607973,0.2624584717607973,0.2624584717607973,0.2624584717607973
0.5,0.029999999999999995,0.05,0.05,0.05
0.2,0.22097378277153562,0.22097378277153562,0.22097378277153562,0.22097378277153562
