sys_util,NOFILTER,FILTER_90%,FILTER_99%,FILTER_99.9%
0.2,0.4206349206349207,0.4126984126984127,0.4179894179894181,0.4179894179894181
0.9,0.0,0.0,0.0,0.0
0.8,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0
0.6,0.0,0.0,0.0,0.0
0.7000000000000001,0.0,0.0,0.0,0.0
0.4,0.22304832713754646,0.21561338289962823,0.21561338289962823,0.21561338289962823
0.30000000000000004,0.36312849162011157,0.3268156424581005,0.3268156424581005,0.3268156424581005
0.5,0.039999999999999994,0.019999999999999997,0.019999999999999997,0.019999999999999997
0.1,0.5549738219895288,0.5549738219895288,0.5549738219895288,0.5549738219895288
