sys_util,NORMAL,NOFILTER,FILTER,SOFTWARE,SHERLOC
0.8,1.0,0.07518796992481205,0.11654135338345864,0.0,0.21804511278195488
0.9,0.7952755905511809,0.0,0.0,0.0,0.0
1.0,0.029999999999999995,0.0,0.0,0.0,0.0
0.1,1.0,0.8786127167630056,0.8728323699421965,1.0,0.930635838150289
0.7000000000000001,1.0,0.45478036175710596,0.4961240310077522,0.0,0.6459948320413433
0.4,1.0,0.8536585365853658,0.8439024390243902,1.0,0.9073170731707317
0.30000000000000004,1.0,0.8530805687203792,0.8388625592417062,1.0,0.9146919431279621
0.5,1.0,0.7627118644067797,0.7457627118644067,1.0,0.8610169491525423
0.2,1.0,0.9,0.8933333333333333,1.0,0.9533333333333334
0.6,1.0,0.6368715083798884,0.6368715083798882,0.7458100558659216,0.7318435754189944
