sys_util,NORMAL,NOFILTER,FILTER,SOFTWARE,SHERLOC
0.4,1.0,0.6112600536193032,0.5951742627345844,1.0,0.7131367292225201
0.7000000000000001,1.0,0.19117647058823534,0.19705882352941176,0.0,0.3235294117647062
1.0,0.04999999999999999,0.0,0.0,0.0,0.0
0.30000000000000004,1.0,0.6814159292035398,0.678466076696165,1.0,0.7994100294985247
0.1,1.0,0.7884615384615384,0.7884615384615384,1.0,0.8961538461538462
0.6,1.0,0.324607329842932,0.31675392670157093,0.8167539267015707,0.4397905759162304
0.5,1.0,0.5245478036175717,0.5064599483204134,1.0,0.6382428940568479
0.8,1.0,0.03529411764705882,0.058823529411764705,0.0,0.12352941176470589
0.2,1.0,0.7024539877300614,0.6993865030674852,1.0,0.8220858895705522
0.9,0.9166666666666666,0.0,0.0,0.0,0.0
