sys_util,NORMAL,NOFILTER,FILTER,SOFTWARE,SHERLOC
0.6,1.0,0.0,0.0,0.7578947368421053,0.05964912280701752
0.9,0.825892857142857,0.0,0.0,0.0,0.0
0.30000000000000004,1.0,0.35492227979274626,0.3316062176165802,1.0,0.4792746113989637
0.4,1.0,0.22192513368983965,0.20320855614973263,1.0,0.40641711229946514
0.7000000000000001,1.0,0.0,0.0,0.0,0.0
0.8,1.0,0.0,0.0,0.0,0.0
1.0,0.07407407407407411,0.0,0.0,0.0,0.0
0.1,1.0,0.5064599483204134,0.5064599483204134,1.0,0.617571059431525
0.5,1.0,0.05384615384615387,0.038461538461538464,1.0,0.21153846153846173
0.2,1.0,0.4490861618798955,0.4412532637075718,1.0,0.5848563968668408
