sys_util,NORMAL,NOFILTER,FILTER,SOFTWARE,SHERLOC
0.2,1.0,0.39220779220779234,0.38181818181818167,1.0,0.5376623376623378
0.8,1.0,0.0,0.0,0.0,0.0
0.9,0.7862595419847328,0.0,0.0,0.0,0.0
1.0,0.03,0.0,0.0,0.0,0.0
0.6,1.0,0.0,0.0,0.717460317460317,0.05714285714285714
0.7000000000000001,1.0,0.0,0.0,0.0,0.0
0.30000000000000004,1.0,0.29015544041450797,0.26165803108808305,1.0,0.47150259067357514
0.4,1.0,0.20718232044198898,0.19613259668508287,1.0,0.3701657458563534
0.5,1.0,0.044943820224719086,0.03745318352059925,1.0,0.22097378277153554
0.1,1.0,0.5628272251308893,0.5602094240837691,1.0,0.6727748691099481
