sys_util,NORMAL,NOFILTER,FILTER,SOFTWARE,SHERLOC
0.7000000000000001,1.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
0.5,1.0,0.0,0.0,1.0,0.009999999999999998
0.8,0.99,0.0,0.0,0.0,0.0
0.30000000000000004,1.0,0.11374407582938391,0.09478672985781987,1.0,0.1611374407582939
0.9,0.662824207492795,0.0,0.0,0.0,0.0
0.6,1.0,0.0,0.0,0.5064599483204134,0.002583979328165375
0.4,1.0,0.039999999999999994,0.029999999999999995,1.0,0.05999999999999999
0.1,1.0,0.27900552486187835,0.27900552486187835,1.0,0.37292817679557994
0.2,1.0,0.1808873720136518,0.17747440273037537,1.0,0.2525597269624574
