sys_util,NORMAL,NOFILTER,FILTER,SOFTWARE,SHERLOC
0.9,0.8609625668449197,0.0,0.0,0.0,0.0
1.0,0.08730158730158727,0.0,0.0,0.0,0.0
0.4,1.0,0.10267857142857142,0.09375,1.0,0.17410714285714293
0.8,1.0,0.0,0.0,0.0,0.0
0.30000000000000004,1.0,0.1111111111111111,0.10288065843621404,1.0,0.1934156378600823
0.6,1.0,0.0,0.0,0.8472906403940886,0.029556650246305407
0.7000000000000001,1.0,0.0,0.0,0.0,0.0
0.1,1.0,0.27123287671232854,0.2684931506849315,1.0,0.380821917808219
0.5,1.0,0.024096385542168676,0.030120481927710843,1.0,0.12048192771084341
0.2,1.0,0.24188790560471973,0.24188790560471973,1.0,0.3215339233038346
