sys_util,NORMAL,NOFILTER,FILTER,SOFTWARE,SHERLOC
1.0,0.0,0.0,0.0,0.0,0.0
0.30000000000000004,1.0,0.6199460916442058,0.6037735849056604,1.0,0.7547169811320756
0.1,1.0,0.8065843621399177,0.8065843621399177,1.0,0.8847736625514403
0.8,0.99,0.009999999999999998,0.009999999999999998,0.0,0.029999999999999995
0.5,1.0,0.3868421052631579,0.36052631578947386,1.0,0.5710526315789475
0.6,1.0,0.3038961038961041,0.2961038961038962,0.46233766233766227,0.4675324675324675
0.2,1.0,0.6685878962536025,0.662824207492796,1.0,0.8097982708933718
0.4,1.0,0.524547803617571,0.4987080103359172,1.0,0.682170542635659
0.7000000000000001,1.0,0.1396103896103895,0.14285714285714285,0.0,0.2727272727272727
0.9,0.643258426966292,0.0,0.0,0.0,0.0
