sys_util,NORMAL,NOFILTER,FILTER,SOFTWARE,SHERLOC
0.1,1.0,0.2082111436950146,0.2082111436950146,1.0,0.3255131964809387
0.30000000000000004,1.0,0.12345679012345678,0.1193415637860082,1.0,0.1934156378600823
1.0,0.07407407407407403,0.0,0.0,0.0,0.0
0.4,1.0,0.060240963855421686,0.05421686746987954,1.0,0.12048192771084333
0.9,0.8288288288288287,0.0,0.0,0.0,0.0
0.6,1.0,0.0,0.0,0.662824207492795,0.020172910662824194
0.5,1.0,0.0,0.009803921568627449,1.0,0.06862745098039211
0.7000000000000001,1.0,0.0,0.0,0.0,0.0
0.2,1.0,0.17725752508361203,0.17725752508361203,1.0,0.2608695652173916
0.8,1.0,0.0,0.0,0.0,0.0
