sys_util,NORMAL,NOFILTER,FILTER,SOFTWARE,SHERLOC
0.4,1.0,0.8423423423423423,0.8288288288288288,1.0,0.9144144144144144
0.9,0.8472906403940885,0.0,0.0,0.0,0.0
0.6,1.0,0.6835820895522389,0.6835820895522395,0.9701492537313433,0.7791044776119399
0.2,1.0,0.95,0.95,1.0,0.97
0.7000000000000001,1.0,0.5193798449612409,0.5478036175710593,0.0,0.645994832041344
0.8,1.0,0.09868421052631578,0.16118421052631576,0.0,0.26644736842105293
1.0,0.029999999999999975,0.0,0.0,0.0,0.0
0.30000000000000004,1.0,0.8472906403940885,0.8472906403940886,1.0,0.9211822660098522
0.5,1.0,0.7604166666666665,0.7534722222222222,1.0,0.8263888888888884
0.1,1.0,0.96,0.96,1.0,1.0
