sys_util,NORMAL,NOFILTER,FILTER,SOFTWARE,SHERLOC
1.0,0.029999999999999995,0.0,0.0,0.0,0.0
0.7000000000000001,1.0,0.0,0.0,0.0,0.0
0.6,1.0,0.0,0.0,0.5725593667546176,0.029023746701846955
0.5,1.0,0.04255319148936169,0.02482269503546099,1.0,0.2375886524822696
0.1,1.0,0.5245478036175707,0.5193798449612402,1.0,0.6537467700258399
0.8,1.0,0.0,0.0,0.0,0.0
0.2,1.0,0.3769633507853404,0.36649214659685864,1.0,0.5549738219895285
0.4,1.0,0.18047337278106512,0.1656804733727811,1.0,0.31952662721893477
0.9,0.7174603174603176,0.0,0.0,0.0,0.0
0.30000000000000004,1.0,0.2853403141361258,0.2670157068062826,1.0,0.44502617801047123
