sys_util,NORMAL,NOFILTER,FILTER,SOFTWARE,SHERLOC
0.8,1.0,0.0,0.0,0.0,0.0
0.5,1.0,0.05555555555555554,0.03703703703703703,1.0,0.07407407407407406
0.7000000000000001,1.0,0.0,0.0,0.0,0.0
0.6,1.0,0.0,0.0,0.6571428571428577,0.01428571428571427
1.0,0.05999999999999999,0.0,0.0,0.0,0.0
0.4,1.0,0.06701030927835051,0.06701030927835051,1.0,0.14432989690721648
0.9,0.8162393162393162,0.0,0.0,0.0,0.0
0.1,1.0,0.24791086350974934,0.2451253481894151,1.0,0.36490250696378845
0.2,1.0,0.20845921450151048,0.20845921450151048,1.0,0.30815709969788535
0.30000000000000004,1.0,0.10747663551401869,0.09345794392523361,1.0,0.16355140186915887
