sys_util,NORMAL,NOFILTER,FILTER,SOFTWARE,SHERLOC
0.30000000000000004,1.0,0.38082901554404136,0.35751295336787536,1.0,0.5284974093264256
0.7000000000000001,1.0,0.0,0.0,0.0,0.0
0.5,1.0,0.09567901234567902,0.08024691358024688,1.0,0.2962962962962961
1.0,0.12716763005780354,0.0,0.0,0.0,0.0
0.4,1.0,0.25866666666666666,0.2399999999999998,1.0,0.41066666666666657
0.9,0.8860759493670886,0.0,0.0,0.0,0.0
0.1,1.0,0.5064599483204132,0.5064599483204132,1.0,0.6356589147286819
0.6,1.0,0.0,0.0,0.9936708860759493,0.11392405063291139
0.2,1.0,0.4649350649350649,0.4675324675324675,1.0,0.6389610389610392
0.8,1.0,0.0,0.0,0.0,0.0
