sys_util,NORMAL,NOFILTER,FILTER,SOFTWARE,SHERLOC
0.9,0.2624584717607973,0.0,0.0,0.0,0.0
0.8,0.99,0.0,0.0,0.0,0.0
0.7000000000000001,1.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
0.5,1.0,0.0,0.0,1.0,0.05
0.4,1.0,0.041666666666666685,0.037037037037037056,1.0,0.16666666666666674
0.1,1.0,0.3669250645994832,0.34883720930232587,1.0,0.488372093023256
0.30000000000000004,1.0,0.13588850174216022,0.12195121951219522,1.0,0.24390243902439043
0.2,1.0,0.24309392265193358,0.22375690607734813,1.0,0.37292817679557994
0.6,1.0,0.0,0.0,0.13903743315508013,0.0
