sys_util,NORMAL,NOFILTER,FILTER,SOFTWARE,SHERLOC
0.2,1.0,0.7082066869300914,0.6960486322188445,1.0,0.802431610942249
0.4,1.0,0.4792746113989638,0.46891191709844565,1.0,0.6398963730569951
0.8,1.0,0.027777777777777766,0.037037037037037014,0.0,0.07407407407407406
0.1,1.0,0.7500000000000001,0.7500000000000001,1.0,0.8835616438356164
0.9,0.7597173144876327,0.0,0.0,0.0,0.0
0.30000000000000004,1.0,0.6079999999999995,0.5893333333333335,1.0,0.7386666666666664
1.0,0.019999999999999997,0.0,0.0,0.0,0.0
0.5,1.0,0.4116094986807387,0.40105540897097625,1.0,0.5751978891820583
0.7000000000000001,1.0,0.12621359223300968,0.13915857605177995,0.0,0.27508090614886715
0.6,1.0,0.29765013054830325,0.3054830287206267,0.5874673629242825,0.4516971279373367
