sys_util,NORMAL,NOFILTER,FILTER,SOFTWARE,SHERLOC
0.30000000000000004,1.0,0.6601123595505618,0.6432584269662923,1.0,0.764044943820224
0.8,1.0,0.058823529411764705,0.07647058823529414,0.0,0.12352941176470589
1.0,0.04999999999999998,0.0,0.0,0.0,0.0
0.4,1.0,0.6129032258064512,0.5994623655913979,1.0,0.6962365591397852
0.1,1.0,0.7749077490774908,0.7749077490774908,1.0,0.8892988929889298
0.7000000000000001,1.0,0.21186440677966106,0.24858757062146908,0.0,0.35310734463276844
0.9,0.9126984126984127,0.0,0.0,0.0,0.0
0.6,1.0,0.3901808785529711,0.3875968992248062,0.9767441860465116,0.5012919896640826
0.5,1.0,0.5402597402597397,0.5324675324675325,1.0,0.6363636363636367
0.2,1.0,0.7560975609756095,0.7560975609756095,1.0,0.8606271777003485
