sys_util,NORMAL,NOFILTER,FILTER,SOFTWARE,SHERLOC
0.7000000000000001,1.0,0.12239583333333333,0.1484375000000002,0.0,0.4583333333333333
0.8,0.95,0.0,0.0,0.0,0.0
0.1,1.0,0.875,0.8641304347826086,1.0,0.9510869565217391
0.2,1.0,0.7875457875457875,0.7728937728937729,1.0,0.9120879120879121
0.5,1.0,0.6348773841961853,0.6130790190735692,0.9918256130790191,0.8256130790190732
0.9,0.20238095238095244,0.0,0.0,0.0,0.0
0.4,1.0,0.6862170087976539,0.6744868035190618,1.0,0.850439882697947
0.6,1.0,0.5610389610389604,0.5376623376623375,0.11168831168831177,0.7688311688311689
1.0,0.0,0.0,0.0,0.0,0.0
0.30000000000000004,1.0,0.7549668874172186,0.7350993377483446,1.0,0.8377483443708607
