sys_util,NORMAL,NOFILTER,FILTER,SOFTWARE,SHERLOC
0.30000000000000004,1.0,0.5284974093264247,0.5207253886010367,1.0,0.6994818652849741
0.2,1.0,0.5820105820105813,0.5793650793650796,1.0,0.7619047619047614
0.1,1.0,0.6470588235294124,0.6414565826330537,1.0,0.8151260504201683
0.5,1.0,0.360313315926893,0.3368146214099216,1.0,0.5483028720626631
1.0,0.009999999999999998,0.0,0.0,0.0,0.0
0.9,0.7015384615384616,0.0,0.0,0.0,0.0
0.8,1.0,0.01,0.019999999999999997,0.0,0.039999999999999994
0.6,1.0,0.26356589147286813,0.26098191214470284,0.4883720930232557,0.43669250645994817
0.7000000000000001,1.0,0.12286689419795227,0.12627986348122866,0.0,0.25255972696245726
0.4,1.0,0.5012919896640824,0.4754521963824291,1.0,0.666666666666667
