sys_util,NORMAL,NOFILTER,FILTER,SOFTWARE,SHERLOC
0.6,1.0,1.0,1.0,0.0,1.0
0.4,1.0,1.0,1.0,1.0,1.0
0.9,0.0,0.0,0.0,0.0,0.0
0.2,1.0,1.0,1.0,1.0,1.0
0.5,1.0,1.0,1.0,0.96,1.0
0.1,1.0,1.0,1.0,1.0,1.0
1.0,0.0,0.0,0.0,0.0,0.0
0.8,0.7597173144876327,0.017667844522968205,0.04946996466431096,0.0,0.045936395759717315
0.30000000000000004,1.0,1.0,1.0,1.0,1.0
0.7000000000000001,1.0,0.8827160493827161,0.9753086419753086,0.0,0.9691358024691358
