sys_util,NORMAL,NOFILTER,FILTER,SOFTWARE,SHERLOC
0.6,1.0,0.0,0.0,0.5167958656330747,0.023255813953488372
1.0,0.009999999999999998,0.0,0.0,0.0,0.0
0.2,1.0,0.4109947643979056,0.40575916230366493,1.0,0.5602094240837696
0.30000000000000004,1.0,0.26649076517150394,0.24802110817941986,1.0,0.424802110817942
0.7000000000000001,1.0,0.0,0.0,0.0,0.0
0.9,0.654285714285715,0.0,0.0,0.0,0.0
0.4,1.0,0.14999999999999988,0.1411764705882352,1.0,0.32352941176470584
0.8,1.0,0.0,0.0,0.0,0.0
0.5,1.0,0.03652968036529678,0.03196347031963473,1.0,0.1689497716894978
0.1,1.0,0.5207253886010366,0.5207253886010366,1.0,0.6398963730569949
